,License Type,License Creation Date,Business Name,Address Building,Address Street Name,Address ZIP,Census Tract,Longitude,Latitude,Location
66,Business,2006-02-08,P.E.C. GROUP LTD.,281,W BROADWAY,10013,36061003300,-74.00490271,40.72099918,"(40.72099918324524, -74.00490271255826)"
67,Business,2005-05-17,241 W B WAY CAFE INC,241,W BROADWAY,10013,36061003300,-74.00588747,40.71974478,"(40.71974478224253, -74.00588747336505)"
68,Business,2005-04-28,REBA REALTY CORP.,16,N MOORE ST,10013,36061003300,-74.00707435,40.71979687,"(40.719796865856566, -74.007074353122)"
69,Business,2005-02-02,"136 WEST BROADWAY, INC.",136,W BROADWAY,10013,36061003300,-74.00821396,40.71681324,"(40.71681323633885, -74.00821396276113)"
70,Business,2005-01-21,"ANOTHEROOM, INC.",249,W BROADWAY,10013,36061003300,-74.0057973,40.71986007,"(40.719860066704925, -74.00579729538171)"
71,Business,2005-01-19,"TRIBECA GRAND HOTEL, INC.",2,AVENUE OF THE AMERICAS,10013,36061003300,-74.00516592,40.71912725,"(40.71912724602971, -74.0051659214096)"
72,Business,2004-12-21,"THE ODEON, INC.",145,W BROADWAY,10013,36061003300,-74.00804805,40.71699166,"(40.71699165747449, -74.0080480456633)"
73,Business,2014-07-25,"HEARTH RESTAURANT INVESTORS, LLC",403,E 12TH ST,10009,36061003400,-73.98316836,40.72986362,"(40.72986362290686, -73.98316836156172)"
74,Business,2014-06-16,YARDBIRD LLC,162,AVENUE B,10009,36061003400,-73.97977402,40.72706617,"(40.7270661703141, -73.97977401836124)"
75,Business,2010-04-21,"WESTVILLE RESTAURANT, INC.",173,AVENUE A,10009,36061003400,-73.98186626,40.7283593,"(40.728359299044364, -73.98186625826531)"
76,Business,2010-01-20,188 AVE A TAKE OUT FOOD CORP.,188,AVENUE A,10009,36061003400,-73.98142592,40.72893014,"(40.728930138096985, -73.9814259247594)"
77,Business,2006-06-15,ELSAYED III CORP.,293,E 10TH ST,10009,36061003400,-73.98187365,40.72770605,"(40.72770604823561, -73.98187365192827)"
78,Business,2006-03-20,NERA CORP.,145,AVENUE A,10009,36061003400,-73.98260255,40.72735209,"(40.72735208710052, -73.98260255053802)"
79,Business,2018-10-30,WHITMANS 261 HUDSON LLC,261,HUDSON ST,10013,36061003700,-74.00773152,40.72491854,"(40.724918542508895, -74.00773151650152)"
80,Business,2018-03-14,SOHO MARKET & BEER MERCHANTS INC,213,6TH AVE,10014,36061003700,-74.00327961,40.72741374,"(40.72741373934022, -74.00327961345734)"
81,Business,2017-08-14,LOCAL & VINE CO CORP,282,HUDSON ST,10013,36061003700,-74.00762334,40.72540163,"(40.72540162699202, -74.00762333774652)"
82,Business,2016-09-06,HAPPY COOKING BISTRO LLC,322,SPRING ST,10013,36061003700,-74.00921808,40.72599438,"(40.72599437787914, -74.00921807912914)"
83,Business,2016-08-25,BOX HILL LLC,18,KING ST,10014,36061003700,-74.00363321,40.72770193,"(40.727701928138686, -74.00363320685803)"
84,Business,2016-06-08,SOHO 75 LLC,75,VARICK ST,10013,36061003700,-74.00622690000002,40.72321688,"(40.72321688398667, -74.00622690468593)"
85,Business,2015-05-19,"ADORO LEI, LLC",287,HUDSON ST,10013,36061003700,-74.00763777,40.72544554,"(40.72544554214919, -74.00763777408629)"
86,Business,2015-05-01,LAYLA TOV INC,333,HUDSON ST,10013,36061003700,-74.00737819,40.72702928,"(40.727029283756664, -74.00737818573637)"
87,Business,2015-04-23,HAPPY COOKING BISTRO LLC,322,SPRING ST,10013,36061003700,-74.00921808,40.72599438,"(40.72599437787914, -74.00921807912914)"
88,Business,2015-03-20,UNION BAR AND KITCHEN LLC,300,SPRING ST,10013,36061003700,-74.007995,40.7258737,"(40.72587369999554, -74.00799500052842)"
89,Business,2014-03-26,KENNEDY ORGANICS LLC,5,KING ST,10012,36061003700,-74.00279616,40.72763608,"(40.72763607735732, -74.00279615941632)"
90,Business,2013-05-08,"CITY WINERY NEW YORK, LLC",155,VARICK ST,10013,36061003700,-74.00568601,40.72632398,"(40.72632397729548, -74.00568601351985)"
91,Business,2013-05-07,G CHEW LLC,190,6TH AVE,10013,36061003700,-74.00353573,40.72643660000001,"(40.726436598429856, -74.00353572504063)"
92,Business,2013-04-17,PRET A MANGER (USA) LIMITED,350,HUDSON ST,10014,36061003700,-74.00727361,40.72754805,"(40.72754804937303, -74.00727361282912)"
93,Business,2013-02-07,WESTVILLE HUDSON LLC,333,HUDSON ST,10013,36061003700,-74.00737819,40.72702928,"(40.727029283756664, -74.00737818573637)"
94,Business,2009-03-26,110 VARICK ST. CORP.,110,VARICK ST,10013,36061003700,-74.00600695,40.72449321,"(40.724493208001604, -74.00600694951443)"
95,Business,2006-08-01,NEW MEKONG RESTAURANT CORP.,16,KING ST,10014,36061003700,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
96,Business,2006-05-03,"MOUQUINHO ENTERPRISES, INC.",549,GREENWICH ST,10013,36061003700,-74.00885387,40.7273613,"(40.727361295273745, -74.00885386699937)"
97,Business,2005-02-25,RIOMAR CORP.,324,SPRING ST,10013,36061003700,-74.00931188,40.7260026,"(40.726002604601796, -74.00931188460676)"
98,Business,2018-09-13,ESQEV LLC,83,1ST AVE,10003,36061003800,-73.98654632,40.72587319,"(40.72587319157503, -73.98654631912504)"
99,Business,2017-12-19,Bytelogics Inc,304,E 6TH ST,10003,36061003800,-73.9881191,40.72721555,"(40.72721555063613, -73.98811910338063)"
100,Business,2016-09-06,CJFM LLC,84,E 4TH ST,10003,36061003800,-73.98975363,40.72631543,"(40.726315427516546, -73.9897536317576)"
101,Business,2016-04-19,BEER FACTORY LLC,104,2ND AVE,10003,36061003800,-73.98846542,40.72748457,"(40.72748457197698, -73.98846541760665)"
102,Business,2016-03-15,PLANT BASED PIZZA NEW YORK LLC,65,2ND AVE,10003,36061003800,-73.98954803,40.72604093,"(40.726040933352074, -73.98954802586807)"
103,Business,2016-03-14,LOCAL 92 INC,92,2ND AVE,10003,36061003800,-73.98881908,40.7269933,"(40.72699329545698, -73.98881907810069)"
104,Business,2015-06-18,BLCH I LLC,99,2ND AVE,10003,36061003800,-73.98866029,40.72725129,"(40.727251287038676, -73.98866028603422)"
105,Business,2015-06-05,EVIR CORP,117,2ND AVE,10003,36061003800,-73.98819114,40.72789351,"(40.727893512861215, -73.98819114174162)"
106,Business,2014-07-25,A & J FROZEN YOGURT CORP.,66,2ND AVE,10003,36061003800,-73.98956247,40.72598604,"(40.725986039523846, -73.98956246591085)"
107,Business,2014-06-09,FIGARO VILLAGGIO INC.,97,1ST AVE,10003,36061003800,-73.98623956,40.72630957,"(40.72630957166937, -73.9862395615795)"
108,Business,2014-05-17,"OTTO'S TACOS, LLC",141,2ND AVE,10003,36061003800,-73.98737914,40.72901878,"(40.729018776682125, -73.98737913726657)"
109,Business,2013-06-07,"CMH BBQ HOLDINGS, LLC",103,2ND AVE,10003,36061003800,-73.98848346,40.72749281,"(40.7274928080516, -73.98848345588063)"
110,Business,2012-06-29,"BARE CITY TWO, LLC",85,2ND AVE,10003,36061003800,-73.98906086,40.72669414,"(40.726694140211706, -73.98906085736922)"
111,Business,2012-05-21,KY & YL INC.,104,2ND AVE,10003,36061003800,-73.98846542,40.72748457,"(40.72748457197698, -73.98846541760665)"
112,Business,2011-11-29,TRIM CASTLE CORP.,87,2ND AVE,10003,36061003800,-73.98892733,40.72687803,"(40.72687802614255, -73.98892733463914)"
113,Business,2011-04-18,EAST VILLAGE 4TH STREET CAFE INC.,78,E 4TH ST,10003,36061003800,-73.99000256,40.72642249,"(40.72642249491312, -73.9900025591503)"
114,Business,2010-05-06,M & R MEDITERRANEAN CORP,304,E 6TH ST,10003,36061003800,-73.9881191,40.72721555,"(40.72721555063613, -73.98811910338063)"
115,Business,2010-03-09,"BALLARO, INC.",77,2ND AVE,10003,36061003800,-73.98921603,40.72648555,"(40.7264855533407, -73.9892160306798)"
116,Business,2010-02-08,A & D WINE CORP.,65,2ND AVE,10003,36061003800,-73.98954803,40.72604093,"(40.726040933352074, -73.98954802586807)"
117,Business,2010-01-19,"CAFE MOCHA, INC.",116,2ND AVE,10003,36061003800,-73.9881731,40.72788528,"(40.72788527674125, -73.98817310339533)"
118,Business,2009-06-30,"SHARAKU, INC.",14,STUYVESANT ST,10003,36061003800,-73.98921188,40.72986160000001,"(40.729861602951175, -73.98921187626529)"
119,Business,2009-04-01,58 2ND AVE REST CORP.,58,2ND AVE,10003,36061003800,-73.98971764,40.72577471,"(40.725774707199776, -73.98971763642615)"
120,Business,2008-04-30,"MEATH TRAILS, INC.",61,2ND AVE,10003,36061003800,-73.98963463,40.72592017,"(40.72592017187683, -73.9896346333224)"
121,Business,2007-06-20,88 2ND AVE. FOOD CORP.,88,2ND AVE,10003,36061003800,-73.9889093,40.72686979,"(40.72686979013676, -73.98890929647672)"
122,Business,2007-05-16,EAST PUB INC,359,BOWERY,10003,36061003800,-73.99161162,40.72687551,"(40.72687550822756, -73.99161161747732)"
123,Business,2007-04-16,"POINT JUDITH, LLC",96,2ND AVE,10003,36061003800,-73.98872886,40.72711955,"(40.727119545460916, -73.98872885892602)"
124,Business,2007-03-01,"KITCHEN TABLE, INC.",88,2ND AVE,10003,36061003800,-73.9889093,40.72686979,"(40.72686979013676, -73.98890929647672)"
125,Business,2007-03-01,HAVELI RESTAURANT INC.,100,2ND AVE,10003,36061003800,-73.98863864,40.72724305,"(40.72724305063554, -73.98863863987745)"
126,Business,2006-11-22,"78 SECOND AVE. SANDWICH SHOP, INC.",78,2ND AVE,10003,36061003800,-73.98921964,40.72644713,"(40.72644712708479, -73.9892196447813)"
127,Business,2006-05-05,"TWO AND EIGHT GOURMET, LTD.",132,2ND AVE,10003,36061003800,-73.98759929,40.7286812,"(40.728681195632056, -73.98759928946133)"
128,Business,2006-03-29,92 ADRIANNA INC.,92,2ND AVE,10003,36061003800,-73.98881908,40.7269933,"(40.72699329545698, -73.98881907810069)"
129,Business,2006-02-10,"N.Y. RESTAURANT SUPPLIES, INC.",8,STUYVESANT ST,10003,36061003800,-73.98939589,40.72983692,"(40.729836917244995, -73.98939589166952)"
130,Business,2006-02-10,"MSD ENTERPRISES,INC",118,2ND AVE,10003,36061003800,-73.98804318,40.72806367,"(40.72806367247522, -73.98804318478493)"
131,Business,2005-03-02,A & Z RESTAURANT CORP.,65,2ND AVE,10003,36061003800,-73.98954803,40.72604093,"(40.726040933352074, -73.98954802586807)"
132,Business,2005-02-04,FELLOW TRAVELERS LTD.,83,1ST AVE,10003,36061003800,-73.98654632,40.72587319,"(40.72587319157503, -73.98654631912504)"
133,Business,2003-03-05,VESELKA ENTERPRISES LTD.,144,2ND AVE,10003,36061003800,-73.98730335,40.72909288,"(40.729092876756894, -73.98730335467506)"
134,Business,2018-06-21,TRIBECA BAKERY LLC,452,WASHINGTON ST,10013,36061003900,-74.01026766,40.72399336,"(40.72399336100704, -74.01026765772984)"
135,Business,2017-12-22,THANA REST INC.,190A,DUANE ST,10013,36061003900,-74.0103929,40.7174224,"(40.71742239702154, -74.01039290426914)"
136,Business,2017-03-06,AEMAL LLC,385,GREENWICH ST,10013,36061003900,-74.01015524,40.72021109,"(40.72021109395703, -74.01015524111843)"
137,Business,2016-01-05,"SWEETGREEN NEW YORK, LLC",413,GREENWICH ST,10013,36061003900,-74.00992814,40.72135293,"(40.721352933445644, -74.00992813583338)"
138,Business,2015-07-02,"355 GREENWICH BAKERY, LLC",355,GREENWICH ST,10013,36061003900,-74.01037509999998,40.71889908,"(40.718899079408246, -74.01037509716315)"
139,Business,2014-08-20,"AFNYC, LLC",205,HUDSON ST,10013,36061003900,-74.00836274,40.72381511,"(40.723815105872475, -74.00836274312697)"
140,Business,2014-08-06,LAIGHT RESTAURANT CORP.,429,GREENWICH ST,10013,36061003900,-74.00974067,40.72222029,"(40.72222029313694, -74.00974066701161)"
141,Business,2014-07-25,SILMOR ENTERPRISES CORP,361,GREENWICH ST,10013,36061003900,-74.01034266,40.71909396,"(40.71909396025184, -74.0103426601329)"
142,Business,2013-05-31,MVNBC CORP.,189,FRANKLIN ST,10013,36061003900,-74.00970418,40.71938496,"(40.71938496033709, -74.00970417761614)"
143,Business,2013-05-30,"SALAAM BOMBAY, INC.",317,GREENWICH ST,10013,36061003900,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
144,Business,2013-05-08,LDV GREENWICH LLC,363,GREENWICH ST,10013,36061003900,-74.01033185,40.71915709,"(40.719157090690274, -74.01033184746368)"
145,Business,2013-05-01,"PACHANGA, INC.",450,WASHINGTON ST,10013,36061003900,-74.01028208,40.72391925,"(40.723919251263105, -74.01028207729765)"
146,Business,2012-02-23,"ZUTTO SQUARED, LLC",77,HUDSON ST,10013,36061003900,-74.00887071,40.71838868,"(40.71838867985726, -74.00887071228594)"
147,Business,2012-02-23,NO MOORE OYSTERS LLC,71,N MOORE ST,10013,36061003900,-74.00984497,40.72009035,"(40.72009035150644, -74.00984497435196)"
148,Business,2011-03-10,"SARABETH'S TRIBECA, LLC",339,GREENWICH ST,10013,36061003900,-74.01049764,40.71821562,"(40.71821562314176, -74.0104976436534)"
149,Business,2010-10-20,"MARYANN'S 353 MEX, INC.",353,GREENWICH ST,10013,36061003900,-74.01040753,40.71869871,"(40.718698709031244, -74.0104075331465)"
150,Business,2010-08-06,MVNBC CORP.,189,FRANKLIN ST,10013,36061003900,-74.00970418,40.71938496,"(40.71938496033709, -74.00970417761614)"
151,Business,2010-06-16,TECTON CAFE INC.,460,GREENWICH ST,10013,36061003900,-74.00948835,40.72376287,"(40.723762868218586, -74.00948835081698)"
152,Business,2009-07-24,GREENWICH HOTEL RESTAURANT LLC,377,GREENWICH ST,10013,36061003900,-74.01022733,40.71978291,"(40.71978290515053, -74.01022732632511)"
153,Business,2006-12-16,"GIGINO, INC.",323,GREENWICH ST,10013,36061003900,-74.01070313,40.71738669,"(40.71738668671694, -74.01070313448439)"
154,Business,2005-06-16,NONNA RESTUARANT CORP,190A,DUANE ST,10013,36061003900,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
155,Business,2005-02-17,"HARRISON GREENWICH, LLC",355,GREENWICH ST,10013,36061003900,-74.01037509999998,40.71889908,"(40.718899079408246, -74.01037509716315)"
156,Business,2018-06-21,PURE GREEN NYC 10TH STREET CORP,152,2ND AVE,10003,36061004000,-73.98701825,40.72947711,"(40.72947711076323, -73.98701824572565)"
157,Business,2018-04-18,"WAGAMAMA NY 55 3RD, LLC",55,3RD AVE,10003,36061004000,-73.98884006,40.73099515,"(40.73099515143394, -73.98884005540712)"
158,Business,2017-09-06,oishi village sushi,199,2ND AVE,10003,36061004000,-73.98572618,40.73128575,"(40.731285751578305, -73.98572617736247)"
159,Business,2017-04-18,LOVE MAMAK CORP,174,2ND AVE,10003,36061004000,-73.98629643,40.73047063,"(40.73047062859094, -73.98629643194597)"
160,Business,2017-02-23,177 1ST AVE LLC,177,1ST AVE,10003,36061004000,-73.98407413,40.72928461,"(40.72928460831135, -73.98407412508558)"
161,Business,2016-06-23,JOYFUL EATS LLC,179,2ND AVE,10003,36061004000,-73.98623507,40.73059139,"(40.73059139050189, -73.98623506928112)"
162,Business,2016-04-20,WEN ZI INC.,157,2ND AVE,10003,36061004000,-73.98698576,40.72955396,"(40.7295539602529, -73.98698575829097)"
163,Business,2016-01-05,DY SCHNITZ LLC,177,1ST AVE,10003,36061004000,-73.98407413,40.72928461,"(40.72928460831135, -73.98407412508558)"
164,Business,2015-10-09,"DUMPLING 2 AVENUE,  INC",188,2ND AVE,10003,36061004000,-73.98601131,40.73086309,"(40.730863094296424, -73.98601130956717)"
165,Business,2014-06-13,MSB RESTAURANTS LLC,151,2ND AVE,10003,36061004000,-73.98709042,40.72941673,"(40.72941673425345, -73.98709041836926)"
166,Business,2014-05-07,"LA MERIDIANA I, LTD",176,2ND AVE,10003,36061004000,-73.98625673,40.73052826,"(40.730528263719364, -73.9862567309466)"
167,Business,2014-01-16,ATLAS HUGGED INCORPORATED,213,2ND AVE,10003,36061004000,-73.98533277,40.73182642,"(40.73182641884441, -73.98533277051997)"
168,Business,2013-12-24,2ND AVENUE SENG CORP.,174,2ND AVE,10003,36061004000,-73.98629643,40.73047063,"(40.73047062859094, -73.98629643194597)"
169,Business,2013-05-14,"ALDER RESTAURANT, LLC",157,2ND AVE,10003,36061004000,-73.98698576,40.72955396,"(40.7295539602529, -73.98698575829097)"
170,Business,2012-08-27,DUCKS EATERY EV LLC,351,E 12TH ST,10003,36061004000,-73.98470164,40.73051434,"(40.73051434384185, -73.98470164119949)"
171,Business,2012-04-13,"LETTA #1, LLC.",160,2ND AVE,10003,36061004000,-73.98673313,40.72986134,"(40.72986134404334, -73.98673313348834)"
172,Business,2011-03-14,BIG DUMPLING CORP.,174,2ND AVE,10003,36061004000,-73.98629643,40.73047063,"(40.73047062859094, -73.98629643194597)"
173,Business,2010-12-29,CHURCH & LOUIS INC.,180,2ND AVE,10003,36061004000,-73.98617372,40.73064079,"(40.73064078874551, -73.98617372120093)"
174,Business,2010-06-02,EAST COUNTY LOUTH INC.,103,3RD AVE,10003,36061004000,-73.987779,40.73245251,"(40.73245250849258, -73.98777899804624)"
