GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",796,102,13,15,6,9,0,11,7,11,0,11,0,11,0,11,783,102,139,67,314,108,165,74,64,56,101,48,0,11
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",410,99,210,61,16,19,60,37,40,32,59,44,25,25,10,17,200,100,74,60,41,52,46,45,23,34,16,19,0,11
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",537,109,443,100,43,42,194,79,102,66,46,54,39,50,19,22,94,71,38,41,35,54,0,11,11,17,10,16,0,11
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",1171,160,50,35,11,18,39,30,0,11,0,11,0,11,0,11,1121,167,734,173,358,153,18,28,0,11,11,17,0,11
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",1246,177,76,52,47,43,29,28,0,11,0,11,0,11,0,11,1170,178,764,165,406,143,0,11,0,11,0,11,0,11
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",771,110,661,105,101,57,263,73,118,63,74,46,42,45,63,35,110,86,8,12,73,79,26,40,3,15,0,11,0,11
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",831,103,597,112,56,39,224,73,110,61,81,57,10,15,116,75,234,78,134,79,48,29,27,32,8,14,8,14,9,15
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",736,86,71,43,0,11,47,36,10,17,14,16,0,11,0,11,665,91,145,62,278,87,167,79,75,34,0,11,0,11
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",574,87,0,11,0,11,0,11,0,11,0,11,0,11,0,11,574,87,92,50,178,67,164,68,63,46,77,46,0,11
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",1238,210,311,138,37,37,189,125,22,36,15,24,48,45,0,11,927,197,685,177,112,72,78,54,0,11,52,46,0,11
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",1596,198,847,169,175,119,170,84,200,118,30,34,253,121,19,33,749,229,16,26,266,142,111,83,72,62,284,155,0,11
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",584,158,276,167,0,11,138,117,87,99,51,84,0,11,0,11,308,107,28,32,191,90,89,84,0,11,0,11,0,11
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",1284,174,409,83,99,64,283,70,0,11,27,29,0,11,0,11,875,170,504,164,350,131,21,32,0,11,0,11,0,11
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",1853,218,200,89,141,82,35,39,12,21,12,19,0,11,0,11,1653,225,1172,205,451,136,0,11,30,44,0,11,0,11
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",1010,165,76,67,0,11,0,11,0,11,14,23,62,62,0,11,934,168,142,119,266,136,57,46,109,83,345,128,15,25
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",347,134,0,11,0,11,0,11,0,11,0,11,0,11,0,11,347,134,0,11,198,129,61,47,15,23,46,40,27,31
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",610,172,43,36,0,11,32,36,0,11,0,11,11,19,0,11,567,179,233,136,165,101,117,80,9,16,27,32,16,25
1500000US360610016004,360610016004,"Block Group 4, Census Tract 16, New York County, New York",453,134,16,22,16,22,0,11,0,11,0,11,0,11,0,11,437,132,201,101,71,59,118,108,0,11,33,53,14,24
1500000US360610016005,360610016005,"Block Group 5, Census Tract 16, New York County, New York",538,168,91,81,20,32,71,74,0,11,0,11,0,11,0,11,447,158,203,107,100,72,97,91,36,44,11,19,0,11
1500000US360610018001,360610018001,"Block Group 1, Census Tract 18, New York County, New York",442,123,15,24,15,24,0,11,0,11,0,11,0,11,0,11,427,124,147,104,166,97,49,50,17,28,48,47,0,11
1500000US360610018002,360610018002,"Block Group 2, Census Tract 18, New York County, New York",258,87,0,11,0,11,0,11,0,11,0,11,0,11,0,11,258,87,76,55,101,68,81,63,0,11,0,11,0,11
1500000US360610018003,360610018003,"Block Group 3, Census Tract 18, New York County, New York",811,166,41,33,12,19,29,34,0,11,0,11,0,11,0,11,770,162,299,123,265,119,69,77,47,46,75,79,15,26
1500000US360610018004,360610018004,"Block Group 4, Census Tract 18, New York County, New York",378,118,0,11,0,11,0,11,0,11,0,11,0,11,0,11,378,118,115,86,201,97,47,43,15,25,0,11,0,11
1500000US360610018005,360610018005,"Block Group 5, Census Tract 18, New York County, New York",287,95,20,31,0,11,0,11,20,31,0,11,0,11,0,11,267,92,141,70,54,44,42,42,10,16,11,17,9,16
1500000US360610018006,360610018006,"Block Group 6, Census Tract 18, New York County, New York",538,110,31,36,0,11,19,31,12,18,0,11,0,11,0,11,507,110,126,87,143,86,47,42,84,69,107,69,0,11
1500000US360610018007,360610018007,"Block Group 7, Census Tract 18, New York County, New York",424,127,32,44,0,11,0,11,0,11,32,44,0,11,0,11,392,130,80,72,169,113,21,23,50,49,72,78,0,11
1500000US360610020000,360610020000,"Block Group 0, Census Tract 20, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610020001,360610020001,"Block Group 1, Census Tract 20, New York County, New York",949,107,11,19,0,11,11,19,0,11,0,11,0,11,0,11,938,112,39,38,296,103,253,90,164,70,106,47,80,56
1500000US360610020002,360610020002,"Block Group 2, Census Tract 20, New York County, New York",670,108,0,11,0,11,0,11,0,11,0,11,0,11,0,11,670,108,86,61,199,78,180,83,111,69,27,33,67,54
1500000US360610020003,360610020003,"Block Group 3, Census Tract 20, New York County, New York",262,70,0,11,0,11,0,11,0,11,0,11,0,11,0,11,262,70,0,11,8,12,93,47,47,43,104,62,10,15
1500000US360610021001,360610021001,"Block Group 1, Census Tract 21, New York County, New York",1319,163,406,122,67,48,200,89,15,25,110,86,14,23,0,11,913,139,513,120,372,138,0,11,14,21,14,21,0,11
1500000US360610021002,360610021002,"Block Group 2, Census Tract 21, New York County, New York",1502,172,891,175,159,103,421,159,144,73,154,84,13,21,0,11,611,176,246,121,351,132,0,11,14,22,0,11,0,11
1500000US360610022011,360610022011,"Block Group 1, Census Tract 22.01, New York County, New York",870,170,43,40,13,20,14,21,0,11,16,26,0,11,0,11,827,171,300,146,317,151,61,74,93,71,56,47,0,11
1500000US360610022012,360610022012,"Block Group 2, Census Tract 22.01, New York County, New York",351,89,15,24,0,11,15,24,0,11,0,11,0,11,0,11,336,91,106,64,68,52,133,68,29,34,0,11,0,11
1500000US360610022013,360610022013,"Block Group 3, Census Tract 22.01, New York County, New York",517,108,13,21,0,11,0,11,0,11,0,11,0,11,13,21,504,106,42,49,94,91,180,96,154,102,34,38,0,11
1500000US360610022014,360610022014,"Block Group 4, Census Tract 22.01, New York County, New York",1154,159,205,100,55,52,84,73,0,11,36,40,30,39,0,11,949,164,58,68,161,86,267,124,159,116,226,89,78,58
1500000US360610022021,360610022021,"Block Group 1, Census Tract 22.02, New York County, New York",986,66,89,48,22,20,44,37,14,19,9,16,0,11,0,11,897,80,338,90,400,95,127,49,32,25,0,11,0,11
1500000US360610024000,360610024000,"Block Group 0, Census Tract 24, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610024001,360610024001,"Block Group 1, Census Tract 24, New York County, New York",1439,135,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1439,135,381,138,193,97,220,107,262,119,300,128,83,73
1500000US360610024002,360610024002,"Block Group 2, Census Tract 24, New York County, New York",709,138,0,11,0,11,0,11,0,11,0,11,0,11,0,11,709,138,61,60,213,104,104,76,133,80,96,64,102,96
1500000US360610025000,360610025000,"Block Group 0, Census Tract 25, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610025001,360610025001,"Block Group 1, Census Tract 25, New York County, New York",1233,133,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1233,133,181,99,331,106,269,100,150,84,217,96,85,59
1500000US360610025002,360610025002,"Block Group 2, Census Tract 25, New York County, New York",157,72,0,11,0,11,0,11,0,11,0,11,0,11,0,11,157,72,14,22,41,60,18,20,13,17,64,47,7,12
1500000US360610025003,360610025003,"Block Group 3, Census Tract 25, New York County, New York",511,114,0,11,0,11,0,11,0,11,0,11,0,11,0,11,511,114,13,16,230,99,118,76,95,62,23,20,32,28
1500000US360610026011,360610026011,"Block Group 1, Census Tract 26.01, New York County, New York",666,83,71,40,0,11,34,25,32,28,5,9,0,11,0,11,595,91,119,64,274,77,110,70,92,56,0,11,0,11
1500000US360610026012,360610026012,"Block Group 2, Census Tract 26.01, New York County, New York",890,91,95,38,36,31,7,12,45,35,0,11,7,11,0,11,795,94,215,86,354,97,91,49,107,64,28,33,0,11
1500000US360610026021,360610026021,"Block Group 1, Census Tract 26.02, New York County, New York",924,160,262,108,37,60,33,30,82,56,94,68,16,27,0,11,662,163,276,136,233,114,87,66,48,52,18,32,0,11
1500000US360610026022,360610026022,"Block Group 2, Census Tract 26.02, New York County, New York",1205,179,322,137,51,83,107,100,121,75,30,36,0,11,13,20,883,193,327,143,358,142,155,99,34,37,9,17,0,11
1500000US360610027001,360610027001,"Block Group 1, Census Tract 27, New York County, New York",541,66,281,62,19,15,107,48,68,40,25,19,30,23,32,23,260,64,94,53,50,31,77,51,17,20,12,12,10,11
1500000US360610028001,360610028001,"Block Group 1, Census Tract 28, New York County, New York",433,113,69,42,0,11,30,32,15,24,24,32,0,11,0,11,364,125,24,39,151,100,98,64,58,58,33,54,0,11
1500000US360610028002,360610028002,"Block Group 2, Census Tract 28, New York County, New York",779,154,56,33,0,11,42,33,14,23,0,11,0,11,0,11,723,154,126,81,378,159,84,60,93,53,25,27,17,26
1500000US360610028003,360610028003,"Block Group 3, Census Tract 28, New York County, New York",890,145,60,40,15,22,45,33,0,11,0,11,0,11,0,11,830,154,210,110,336,138,120,65,149,89,0,11,15,24
1500000US360610028004,360610028004,"Block Group 4, Census Tract 28, New York County, New York",1175,196,166,89,15,24,86,74,10,17,0,11,46,38,9,16,1009,184,243,100,213,133,191,120,83,58,168,114,111,90
1500000US360610029001,360610029001,"Block Group 1, Census Tract 29, New York County, New York",374,107,0,11,0,11,0,11,0,11,0,11,0,11,0,11,374,107,53,65,69,68,140,84,63,59,0,11,49,48
1500000US360610029002,360610029002,"Block Group 2, Census Tract 29, New York County, New York",530,111,0,11,0,11,0,11,0,11,0,11,0,11,0,11,530,111,107,81,278,99,13,22,83,59,7,20,42,38
1500000US360610029003,360610029003,"Block Group 3, Census Tract 29, New York County, New York",906,176,77,61,0,11,14,25,26,32,37,52,0,11,0,11,829,187,117,78,346,157,163,99,70,52,87,56,46,42
1500000US360610029004,360610029004,"Block Group 4, Census Tract 29, New York County, New York",258,78,126,54,0,11,17,26,15,23,54,38,14,22,26,31,132,66,14,23,74,50,19,33,0,11,0,11,25,28
1500000US360610030011,360610030011,"Block Group 1, Census Tract 30.01, New York County, New York",803,134,0,11,0,11,0,11,0,11,0,11,0,11,0,11,803,134,384,135,285,100,61,49,55,50,18,29,0,11
1500000US360610030012,360610030012,"Block Group 2, Census Tract 30.01, New York County, New York",700,151,33,27,0,11,33,27,0,11,0,11,0,11,0,11,667,150,284,115,294,135,52,41,27,31,0,11,10,16
1500000US360610030013,360610030013,"Block Group 3, Census Tract 30.01, New York County, New York",409,110,0,11,0,11,0,11,0,11,0,11,0,11,0,11,409,110,156,94,109,58,38,41,66,67,18,30,22,29
1500000US360610030014,360610030014,"Block Group 4, Census Tract 30.01, New York County, New York",398,106,106,61,0,11,86,64,20,29,0,11,0,11,0,11,292,100,104,67,155,92,11,13,8,14,14,25,0,11
1500000US360610030021,360610030021,"Block Group 1, Census Tract 30.02, New York County, New York",958,108,75,47,0,11,33,45,0,11,42,30,0,11,0,11,883,115,293,82,319,104,160,73,89,54,22,22,0,11
1500000US360610030022,360610030022,"Block Group 2, Census Tract 30.02, New York County, New York",815,105,72,47,7,12,16,17,33,36,0,11,0,11,16,18,743,108,102,68,395,115,128,77,39,38,54,30,25,21
1500000US360610031001,360610031001,"Block Group 1, Census Tract 31, New York County, New York",753,58,189,50,71,31,21,17,47,35,39,28,0,11,11,15,564,70,221,60,261,71,49,35,33,31,0,11,0,11
1500000US360610032001,360610032001,"Block Group 1, Census Tract 32, New York County, New York",876,196,66,62,16,27,0,11,0,11,0,11,50,55,0,11,810,205,337,153,125,90,91,101,102,79,142,92,13,20
1500000US360610032002,360610032002,"Block Group 2, Census Tract 32, New York County, New York",375,117,77,61,0,11,65,56,0,11,12,19,0,11,0,11,298,115,131,100,51,46,95,72,0,11,21,32,0,11
1500000US360610032003,360610032003,"Block Group 3, Census Tract 32, New York County, New York",912,210,298,119,51,60,68,70,10,16,36,35,12,21,121,84,614,198,22,37,283,153,143,141,15,22,85,62,66,54
1500000US360610032004,360610032004,"Block Group 4, Census Tract 32, New York County, New York",450,135,183,121,0,11,168,116,0,11,0,11,0,11,15,26,267,117,0,11,55,66,0,11,141,110,71,70,0,11
1500000US360610032005,360610032005,"Block Group 5, Census Tract 32, New York County, New York",257,100,0,11,0,11,0,11,0,11,0,11,0,11,0,11,257,100,90,64,98,93,34,31,35,57,0,11,0,11
1500000US360610032006,360610032006,"Block Group 6, Census Tract 32, New York County, New York",967,224,27,33,0,11,0,11,0,11,27,33,0,11,0,11,940,221,549,211,157,118,132,92,78,94,24,40,0,11
1500000US360610032007,360610032007,"Block Group 7, Census Tract 32, New York County, New York",680,150,0,11,0,11,0,11,0,11,0,11,0,11,0,11,680,150,213,131,281,118,25,39,100,107,61,57,0,11
1500000US360610033001,360610033001,"Block Group 1, Census Tract 33, New York County, New York",1358,182,459,122,48,46,234,88,54,66,108,76,15,24,0,11,899,158,385,152,334,130,90,40,0,11,90,58,0,11
1500000US360610033002,360610033002,"Block Group 2, Census Tract 33, New York County, New York",311,97,155,74,30,36,33,31,29,33,47,49,16,25,0,11,156,94,56,53,29,47,0,11,29,33,42,53,0,11
1500000US360610033003,360610033003,"Block Group 3, Census Tract 33, New York County, New York",704,137,482,107,108,101,201,75,120,73,33,32,20,22,0,11,222,120,113,88,54,67,12,19,20,30,23,43,0,11
1500000US360610034001,360610034001,"Block Group 1, Census Tract 34, New York County, New York",971,192,12,19,0,11,12,19,0,11,0,11,0,11,0,11,959,189,400,161,249,117,97,81,165,109,26,40,22,36
1500000US360610034002,360610034002,"Block Group 2, Census Tract 34, New York County, New York",813,178,146,94,36,43,62,72,16,24,19,23,0,11,13,21,667,178,148,86,237,143,171,83,91,90,20,32,0,11
1500000US360610034003,360610034003,"Block Group 3, Census Tract 34, New York County, New York",995,186,41,35,0,11,41,35,0,11,0,11,0,11,0,11,954,186,345,126,267,165,119,86,37,52,103,65,83,75
1500000US360610034004,360610034004,"Block Group 4, Census Tract 34, New York County, New York",1062,186,155,128,0,11,119,114,36,57,0,11,0,11,0,11,907,172,384,132,131,123,131,80,119,104,88,73,54,61
1500000US360610036011,360610036011,"Block Group 1, Census Tract 36.01, New York County, New York",321,76,7,12,0,11,0,11,0,11,7,12,0,11,0,11,314,76,57,47,163,62,79,44,8,12,7,12,0,11
1500000US360610036012,360610036012,"Block Group 2, Census Tract 36.01, New York County, New York",416,90,115,50,8,12,31,32,14,22,44,33,18,14,0,11,301,88,30,31,53,35,86,55,103,63,29,43,0,11
1500000US360610036013,360610036013,"Block Group 3, Census Tract 36.01, New York County, New York",684,95,40,31,10,16,30,27,0,11,0,11,0,11,0,11,644,94,225,69,304,92,58,42,42,32,6,9,9,14
1500000US360610036021,360610036021,"Block Group 1, Census Tract 36.02, New York County, New York",729,97,69,48,14,16,15,24,25,39,15,12,0,11,0,11,660,94,212,70,152,85,63,51,138,51,46,32,49,31
1500000US360610036022,360610036022,"Block Group 2, Census Tract 36.02, New York County, New York",658,100,51,36,5,7,0,11,4,7,7,11,16,25,19,22,607,102,154,70,373,88,28,45,35,42,17,28,0,11
1500000US360610037000,360610037000,"Block Group 0, Census Tract 37, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610037001,360610037001,"Block Group 1, Census Tract 37, New York County, New York",388,82,121,51,21,17,93,47,0,11,0,11,7,11,0,11,267,74,74,51,30,28,74,49,32,31,34,38,23,22
1500000US360610037002,360610037002,"Block Group 2, Census Tract 37, New York County, New York",510,119,244,80,19,21,53,37,66,40,17,24,12,18,77,60,266,101,142,87,69,63,13,16,0,11,20,19,22,25
1500000US360610037003,360610037003,"Block Group 3, Census Tract 37, New York County, New York",418,63,187,49,37,29,87,48,44,45,0,11,0,11,19,20,231,59,93,55,70,38,22,26,14,22,27,30,5,8
1500000US360610038001,360610038001,"Block Group 1, Census Tract 38, New York County, New York",768,143,138,87,31,44,31,40,18,27,58,67,0,11,0,11,630,145,164,100,199,105,190,121,0,11,25,40,52,62
